"學年度","學校代碼","學校名稱","科系代碼","科系名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男生","一年級女生","二年級男生","二年級女生","三年級男生","三年級女生","四年級男生","四年級女生","五年級男生","五年級女生","六年級男生","六年級女生","七年級男生","七年級女生","延修生男生","延修生女生","縣市名稱","體系別"
112,0001,國立政治大學,03122045,外交學系,D 日,D 博士,9,8,1,2,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03122045,外交學系,D 日,M 碩士,73,40,33,15,10,15,8,5,11,5,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03122045,外交學系,D 日,B 學士,264,93,171,20,40,26,43,24,35,17,40,0,0,0,0,0,0,6,13,30 臺北市,1 一般
112,0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,N 職,M 碩士,79,49,30,12,12,10,11,15,6,8,0,4,1,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03122046,國際研究英語碩士學位學程,D 日,M 碩士,58,31,27,9,11,15,11,6,5,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03131032,心理學系,D 日,D 博士,10,5,5,1,1,0,1,2,1,1,0,0,1,1,0,0,1,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03131032,心理學系,D 日,M 碩士,91,25,66,8,21,9,15,5,19,3,11,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03131032,心理學系,D 日,B 學士,221,56,165,9,40,12,36,10,42,15,33,0,0,0,0,0,0,10,14,30 臺北市,1 一般
112,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,D 日,M 碩士,50,13,37,6,9,3,11,1,12,3,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03141030,社會學系,D 日,D 博士,8,4,4,1,0,1,0,1,1,1,0,0,2,0,1,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03141030,社會學系,D 日,M 碩士,63,27,36,11,7,5,9,7,11,4,9,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03141030,社會學系,D 日,B 學士,210,70,140,14,32,11,32,18,27,18,30,0,0,0,0,0,0,9,19,30 臺北市,1 一般
112,0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,D 日,M 碩士,17,7,10,2,2,1,2,2,1,2,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03143028,東亞研究所,D 日,D 博士,38,21,17,3,4,3,1,2,3,3,2,1,2,5,2,4,3,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03143028,東亞研究所,D 日,M 碩士,69,51,18,12,5,14,3,12,5,13,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03143036,日本研究博士學位學程,D 日,D 博士,10,3,7,1,1,1,2,0,0,0,1,0,3,1,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03143036,日本研究碩士學位學程,D 日,M 碩士,37,18,19,0,8,6,5,5,2,6,4,1,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03143038,俄羅斯研究所,D 日,M 碩士,30,18,12,5,7,5,3,5,2,3,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03143040,亞太研究英語博士學位學程,D 日,D 博士,80,49,31,12,6,4,7,8,2,9,7,6,4,5,4,5,1,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,D 日,M 碩士,97,49,48,15,15,20,18,12,10,2,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03143043,地政學系,D 日,D 博士,17,9,8,2,2,0,1,1,1,3,1,1,1,2,2,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03143043,地政學系,D 日,M 碩士,69,32,37,13,14,15,17,1,5,2,1,0,0,1,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03143043,地政學系,D 日,B 學士,499,250,249,51,74,58,66,72,45,51,57,0,0,0,0,0,0,18,7,30 臺北市,1 一般
112,0001,國立政治大學,03143043,地政學系,N 職,M 碩士,97,52,45,13,12,16,9,11,17,6,3,6,4,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03143090,土地政策與環境規劃碩士原住民專班,D 日,M 碩士,37,15,22,5,6,4,6,3,5,3,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03191047,國家發展研究所,D 日,D 博士,40,24,16,6,2,5,2,4,2,1,3,3,2,3,0,2,5,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03191047,國家發展研究所,D 日,M 碩士,71,34,37,8,12,8,12,8,6,10,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03199048,勞工研究所,D 日,M 碩士,54,17,37,3,7,8,7,3,14,3,9,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,D 日,M 碩士,225,43,182,10,49,18,49,8,48,7,36,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,D 日,M 碩士,65,19,46,4,15,7,22,7,7,1,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03211056,傳播學院博士班,D 日,D 博士,48,24,24,5,5,4,4,4,4,3,4,4,3,2,0,2,4,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03211056,傳播學院大一大二不分系,D 日,B 學士,405,118,287,66,140,52,147,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03211056,傳播學院碩士在職專班,N 職,M 碩士,78,27,51,10,17,7,10,8,13,0,4,2,7,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03213052,廣播電視學系,D 日,B 學士,207,72,135,0,0,0,0,27,54,30,61,0,0,0,0,0,0,15,20,30 臺北市,1 一般
112,0001,國立政治大學,03214051,新聞學系,D 日,D 博士,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03214051,新聞學系,D 日,B 學士,93,25,68,0,0,0,0,6,28,15,28,0,0,0,0,0,0,4,12,30 臺北市,1 一般
112,0001,國立政治大學,03214093,全球傳播與創新科技碩士學位學程,D 日,M 碩士,77,17,60,11,25,6,35,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,D 博士,12,6,6,1,0,1,0,1,1,0,2,0,0,3,3,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,M 碩士,67,14,53,3,22,6,16,4,10,1,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,03222054,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,N 職,M 碩士,74,19,55,2,21,6,16,5,9,3,8,3,1,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04111059,會計學系,D 日,D 博士,4,2,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04111059,會計學系,D 日,M 碩士,133,52,81,21,38,23,39,5,3,3,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
